experiment,folder,crop,model,accuracy,fold_accuracies
experiments/optical_images1_nocrop_resnet34,optical_images1,False,resnet34,0.947518277168274,"[0.9318181872367859, 0.9431818127632141, 0.9545454382896423, 0.9425287246704102, 0.9655172228813171]"
experiments/optical_images1_nocrop_resnet18,optical_images1,False,resnet18,0.954388701915741,"[0.9318181872367859, 0.9431818127632141, 0.9659090638160706, 0.9655172228813171, 0.9655172228813171]"
experiments/optical_images1_nocrop_squeezenet1_0,optical_images1,False,squeezenet1_0,0.9542842149734497,"[0.9659090638160706, 0.9659090638160706, 0.9545454382896423, 0.954023003578186, 0.931034505367279]"
experiments/optical_images1_nocrop_squeezenet1_1,optical_images1,False,squeezenet1_1,0.9565569519996643,"[0.9772727489471436, 0.9431818127632141, 0.9772727489471436, 0.9425287246704102, 0.9425287246704102]"
experiments/optical_images1_nocrop_densenet121,optical_images1,False,densenet121,0.9520637392997742,"[0.9318181872367859, 0.9659090638160706, 0.9545454382896423, 0.954023003578186, 0.954023003578186]"
experiments/optical_images1_crop_resnet34,optical_images1,True,resnet34,0.9314524531364441,"[0.9204545617103577, 0.9318181872367859, 0.9659090638160706, 0.9195402264595032, 0.9195402264595032]"
experiments/optical_images1_crop_resnet18,optical_images1,True,resnet18,0.9542842149734497,"[0.9886363744735718, 0.9545454382896423, 0.9431818127632141, 0.9195402264595032, 0.9655172228813171]"
experiments/optical_images1_crop_squeezenet1_0,optical_images1,True,squeezenet1_0,0.9588557958602906,"[0.9545454382896423, 0.9772727489471436, 0.9659090638160706, 0.931034505367279, 0.9655172228813171]"
experiments/optical_images1_crop_squeezenet1_1,optical_images1,True,squeezenet1_1,0.9748693823814392,"[0.9772727489471436, 0.9659090638160706, 0.9886363744735718, 0.977011501789093, 0.9655172228813171]"
experiments/optical_images1_crop_densenet121,optical_images1,True,densenet121,0.9497910141944885,"[0.9204545617103577, 0.9886363744735718, 0.9318181872367859, 0.9195402264595032, 0.9885057210922241]"
experiments/optical_images2_nocrop_resnet34,optical_images2,False,resnet34,0.9863375067710877,"[0.9659090638160706, 0.9886363744735718, 0.9886363744735718, 1.0, 0.9885057210922241]"
experiments/optical_images2_nocrop_resnet18,optical_images2,False,resnet18,0.9886363744735718,"[0.9772727489471436, 0.9772727489471436, 0.9886363744735718, 1.0, 1.0]"
experiments/optical_images2_nocrop_squeezenet1_0,optical_images2,False,squeezenet1_0,0.986311388015747,"[0.9772727489471436, 0.9772727489471436, 1.0, 0.9885057210922241, 0.9885057210922241]"
experiments/optical_images2_nocrop_squeezenet1_1,optical_images2,False,squeezenet1_1,0.9908829689025879,"[0.9886363744735718, 0.9772727489471436, 1.0, 0.9885057210922241, 1.0]"
experiments/optical_images2_nocrop_densenet121,optical_images2,False,densenet121,0.9839864134788513,"[1.0, 0.9772727489471436, 0.9886363744735718, 0.9655172228813171, 0.9885057210922241]"
experiments/optical_images2_crop_resnet34,optical_images2,True,resnet34,0.9863375186920166,"[0.9772727489471436, 0.9772727489471436, 0.9886363744735718, 1.0, 0.9885057210922241]"
experiments/optical_images2_crop_resnet18,optical_images2,True,resnet18,0.9863375186920166,"[0.9772727489471436, 0.9772727489471436, 0.9886363744735718, 0.9885057210922241, 1.0]"
experiments/optical_images2_crop_squeezenet1_0,optical_images2,True,squeezenet1_0,0.9908829689025879,"[0.9886363744735718, 0.9886363744735718, 0.9886363744735718, 1.0, 0.9885057210922241]"
experiments/optical_images2_crop_squeezenet1_1,optical_images2,True,squeezenet1_1,0.9909090876579285,"[1.0, 0.9659090638160706, 0.9886363744735718, 1.0, 1.0]"
experiments/optical_images2_crop_densenet121,optical_images2,True,densenet121,0.9817659139633179,"[1.0, 0.9659090638160706, 0.9659090638160706, 0.9885057210922241, 0.9885057210922241]"
